region,DateRep,Cases,Deaths,population
SC,2020-03-01T03:00:00Z,10,0,7252502
SUL,2020-03-01T03:00:00Z,2,0,999701
AVI,2020-03-02T03:00:00Z,0,0,1077659
FVI,2020-03-02T03:00:00Z,0,0,698912
GFL,2020-03-02T03:00:00Z,0,0,1189947
GOE,2020-03-02T03:00:00Z,0,0,792895
MOS,2020-03-02T03:00:00Z,1,0,916252
PNN,2020-03-02T03:00:00Z,0,0,1400128
SC,2020-03-02T03:00:00Z,2,0,7252502
SUL,2020-03-02T03:00:00Z,1,0,999701
AVI,2020-03-03T03:00:00Z,1,0,1077659
FVI,2020-03-03T03:00:00Z,1,0,698912
GFL,2020-03-03T03:00:00Z,0,0,1189947
GOE,2020-03-03T03:00:00Z,0,0,792895
MOS,2020-03-03T03:00:00Z,0,0,916252
PNN,2020-03-03T03:00:00Z,2,0,1400128
SC,2020-03-03T03:00:00Z,4,0,7252502
SUL,2020-03-03T03:00:00Z,0,0,999701
AVI,2020-03-04T03:00:00Z,0,0,1077659
FVI,2020-03-04T03:00:00Z,0,0,698912
GFL,2020-03-04T03:00:00Z,1,0,1189947
GOE,2020-03-04T03:00:00Z,0,0,792895
MOS,2020-03-04T03:00:00Z,0,0,916252
PNN,2020-03-04T03:00:00Z,0,0,1400128
SC,2020-03-04T03:00:00Z,1,0,7252502
SUL,2020-03-04T03:00:00Z,0,0,999701
AVI,2020-03-05T03:00:00Z,2,0,1077659
FVI,2020-03-05T03:00:00Z,1,0,698912
GFL,2020-03-05T03:00:00Z,2,0,1189947
GOE,2020-03-05T03:00:00Z,0,0,792895
MOS,2020-03-05T03:00:00Z,0,0,916252
PNN,2020-03-05T03:00:00Z,0,0,1400128
